,Net Collections Amount,Electronic Category ID,Channel Type ID,Tax Category ID,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number,Record Date Discretized
0,726.95,4,2,1,2024,1,2023,4,12,27,7026
1,243104.79,3,1,1,2024,1,2023,4,12,27,7026
2,9395109.54,4,1,1,2024,1,2023,4,12,27,7026
3,48241.05,2,1,2,2024,1,2023,4,12,27,7026
4,2905.82,1,5,3,2024,1,2023,4,12,27,7026
5,8928690.37,4,1,3,2024,1,2023,4,12,27,7026
6,340448.95,1,3,2,2024,1,2023,4,12,27,7026
7,1745081461.06,1,5,1,2024,1,2023,4,12,27,7026
8,108002625.79,2,1,1,2024,1,2023,4,12,27,7026
9,228590095.33,2,1,3,2024,1,2023,4,12,27,7026
10,420589935.07,3,2,3,2024,1,2023,4,12,27,7026
11,71210053.5,3,2,1,2024,1,2023,4,12,27,7026
12,9817179.16,1,1,1,2024,1,2023,4,12,27,7026
13,8661270908.15,1,3,3,2024,1,2023,4,12,27,7026
14,731640248.18,1,3,1,2024,1,2023,4,12,27,7026
15,33649.0,3,1,1,2024,1,2023,4,12,26,7025
16,19852564.49,4,1,1,2024,1,2023,4,12,26,7025
17,764.97,1,5,2,2024,1,2023,4,12,26,7025
18,4880345.29,4,1,3,2024,1,2023,4,12,26,7025
19,85862.53,2,1,2,2024,1,2023,4,12,26,7025
20,608409.32,1,3,2,2024,1,2023,4,12,26,7025
21,81063886.83,2,1,1,2024,1,2023,4,12,26,7025
22,1451251598.44,1,5,1,2024,1,2023,4,12,26,7025
23,316716796.54,3,2,3,2024,1,2023,4,12,26,7025
24,182760065.02,2,1,3,2024,1,2023,4,12,26,7025
25,57818037.61,3,2,1,2024,1,2023,4,12,26,7025
26,32299197957.17,1,3,3,2024,1,2023,4,12,26,7025
27,53212486.55,1,1,1,2024,1,2023,4,12,26,7025
28,645467860.18,1,3,1,2024,1,2023,4,12,26,7025
29,20.0,4,2,1,2024,1,2023,4,12,22,7021
30,9660859.68,4,1,1,2024,1,2023,4,12,22,7021
31,15.0,1,5,2,2024,1,2023,4,12,22,7021
32,20341.0,2,1,2,2024,1,2023,4,12,22,7021
33,4812035.02,4,1,3,2024,1,2023,4,12,22,7021
34,613558.88,3,1,1,2024,1,2023,4,12,22,7021
35,1014974.81,1,3,2,2024,1,2023,4,12,22,7021
36,120776565.59,2,1,1,2024,1,2023,4,12,22,7021
37,1245331541.73,1,5,1,2024,1,2023,4,12,22,7021
38,239168003.14,3,2,3,2024,1,2023,4,12,22,7021
39,49909389.66,3,2,1,2024,1,2023,4,12,22,7021
40,353424977.52,2,1,3,2024,1,2023,4,12,22,7021
41,18836774.54,1,1,1,2024,1,2023,4,12,22,7021
42,15979189340.43,1,3,3,2024,1,2023,4,12,22,7021
43,5177059716.77,1,3,1,2024,1,2023,4,12,22,7021
44,351.69,4,2,1,2024,1,2023,4,12,21,7020
45,207300.45,3,1,1,2024,1,2023,4,12,21,7020
46,25224619.19,4,1,1,2024,1,2023,4,12,21,7020
47,85695.28,2,1,2,2024,1,2023,4,12,21,7020
48,2618668.87,4,1,3,2024,1,2023,4,12,21,7020
49,666839.0,1,3,2,2024,1,2023,4,12,21,7020
50,3412173687.11,1,5,1,2024,1,2023,4,12,21,7020
51,189588739.3,2,1,3,2024,1,2023,4,12,21,7020
52,418806835.65,3,2,3,2024,1,2023,4,12,21,7020
53,64913426.53,3,2,1,2024,1,2023,4,12,21,7020
54,86724794.48,2,1,1,2024,1,2023,4,12,21,7020
55,17379784.29,1,1,1,2024,1,2023,4,12,21,7020
56,8490181420.56,1,3,3,2024,1,2023,4,12,21,7020
57,646558070.05,1,3,1,2024,1,2023,4,12,21,7020
58,1133.76,4,2,1,2024,1,2023,4,12,20,7019
59,18332.93,3,1,1,2024,1,2023,4,12,20,7019
60,14320486.44,4,1,1,2024,1,2023,4,12,20,7019
61,344209.47,2,1,2,2024,1,2023,4,12,20,7019
62,6391863.89,1,5,3,2024,1,2023,4,12,20,7019
63,7095931.76,4,1,3,2024,1,2023,4,12,20,7019
64,684246.0,1,3,2,2024,1,2023,4,12,20,7019
65,1525582689.22,1,5,1,2024,1,2023,4,12,20,7019
66,327912232.62,2,1,3,2024,1,2023,4,12,20,7019
67,1211808672.27,3,2,3,2024,1,2023,4,12,20,7019
68,89606718.05,2,1,1,2024,1,2023,4,12,20,7019
69,126740663.64,3,2,1,2024,1,2023,4,12,20,7019
70,17538143.25,1,1,1,2024,1,2023,4,12,20,7019
71,16900520081.76,1,3,3,2024,1,2023,4,12,20,7019
72,790800308.71,1,3,1,2024,1,2023,4,12,20,7019
73,603.29,4,2,1,2024,1,2023,4,12,19,7018
74,1027341.49,3,1,1,2024,1,2023,4,12,19,7018
75,9682831.37,4,1,1,2024,1,2023,4,12,19,7018
76,50.0,1,5,2,2024,1,2023,4,12,19,7018
77,471493.63,1,5,3,2024,1,2023,4,12,19,7018
78,3354504.12,4,1,3,2024,1,2023,4,12,19,7018
79,712442.41,1,3,2,2024,1,2023,4,12,19,7018
80,60978.24,2,1,2,2024,1,2023,4,12,19,7018
81,236204603.64,2,1,3,2024,1,2023,4,12,19,7018
82,339034384.38,3,2,3,2024,1,2023,4,12,19,7018
